Assembly Accession	Assembly-unit name	Chromosome name	GC Count	GC Percent	GenBank seq accession	Molecule type	Ordering	RefSeq seq accession	Role	Seq length	UCSC style name	Unlocalized Count	Sequence name
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000025.1	Chromosome		NW_024607029.1	unplaced-scaffold	16036			Un_scaffold_20089_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000027.1	Chromosome		NW_024609439.1	unplaced-scaffold	174481			Un_scaffold_2056_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000038.1	Chromosome		NW_024604025.1	unplaced-scaffold	2552			Un_contig_13601_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000039.1	Chromosome		NW_024606522.1	unplaced-scaffold	9166			Un_contig_13604_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000040.1	Chromosome		NW_024604879.1	unplaced-scaffold	3916			Un_contig_13605_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000041.1	Chromosome		NW_024604045.1	unplaced-scaffold	2586			Un_contig_13607_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000042.1	Chromosome		NW_024605062.1	unplaced-scaffold	4114			Un_contig_13609_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000043.1	Chromosome		NW_024604645.1	unplaced-scaffold	3599			Un_contig_1361_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000044.1	Chromosome		NW_024605682.1	unplaced-scaffold	5233			Un_contig_13610_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000045.1	Chromosome		NW_024605074.1	unplaced-scaffold	4130			Un_contig_13611_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000046.1	Chromosome		NW_024606034.1	unplaced-scaffold	6431			Un_contig_13612_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000047.1	Chromosome		NW_024606525.1	unplaced-scaffold	9181			Un_contig_13620_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000048.1	Chromosome		NW_024604898.1	unplaced-scaffold	3941			Un_contig_13622_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000050.1	Chromosome		NW_024608409.1	unplaced-scaffold	61428			Un_contig_475_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000051.1	Chromosome		NW_024606623.1	unplaced-scaffold	10071			Un_contig_4750_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000052.1	Chromosome		NW_024609400.1	unplaced-scaffold	161124			Un_contig_4752_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000054.1	Chromosome		NW_024608346.1	unplaced-scaffold	58562			Un_contig_4756_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000055.1	Chromosome		NW_024604350.1	unplaced-scaffold	3120			Un_contig_4758_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000056.1	Chromosome		NW_024605359.1	unplaced-scaffold	4534			Un_contig_4762_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000057.1	Chromosome		NW_024609531.1	unplaced-scaffold	208430			Un_contig_4763_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000059.1	Chromosome		NW_024607985.1	unplaced-scaffold	43798			Un_contig_4768_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000060.1	Chromosome		NW_024605258.1	unplaced-scaffold	4370			Un_contig_477_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000061.1	Chromosome		NW_024607285.1	unplaced-scaffold	22038			Un_contig_4770_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000062.1	Chromosome		NW_024605955.1	unplaced-scaffold	6190			Un_contig_4772_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000063.1	Chromosome		NW_024608918.1	unplaced-scaffold	90193			Un_contig_4773_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000064.1	Chromosome		NW_024609639.1	unplaced-scaffold	280519			Un_contig_4774_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000065.1	Chromosome		NW_024605079.1	unplaced-scaffold	4140			Un_contig_4778_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000066.1	Chromosome		NW_024609000.1	unplaced-scaffold	96928			Un_contig_478_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000068.1	Chromosome		NW_024606681.1	unplaced-scaffold	10615			Un_contig_4782_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000069.1	Chromosome		NW_024609377.1	unplaced-scaffold	155562			Un_contig_4783_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000070.1	Chromosome		NW_024607469.1	unplaced-scaffold	27031			Un_contig_4786_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000072.1	Chromosome		NW_024606519.1	unplaced-scaffold	9146			Un_contig_4791_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000073.1	Chromosome		NW_024606650.1	unplaced-scaffold	10254			Un_contig_4792_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000074.1	Chromosome		NW_024604747.1	unplaced-scaffold	3730			Un_contig_4796_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000075.1	Chromosome		NW_024609195.1	unplaced-scaffold	120077			Un_contig_4797_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000076.1	Chromosome		NW_024606652.1	unplaced-scaffold	10268			Un_contig_4799_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000077.1	Chromosome		NW_024607563.1	unplaced-scaffold	30015			Un_contig_48_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000079.1	Chromosome		NW_024607679.1	unplaced-scaffold	33608			Un_contig_4800_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000080.1	Chromosome		NW_024609813.1	unplaced-scaffold	727537			Un_contig_4803_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000081.1	Chromosome		NW_024603916.1	unplaced-scaffold	2348			Un_contig_4804_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000082.1	Chromosome		NW_024608461.1	unplaced-scaffold	63437			Un_contig_4805_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000083.1	Chromosome		NW_024608078.1	unplaced-scaffold	47860			Un_contig_4807_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000084.1	Chromosome		NW_024608282.1	unplaced-scaffold	56137			Un_contig_4808_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000086.1	Chromosome		NW_024609113.1	unplaced-scaffold	110010			Un_contig_4810_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000087.1	Chromosome		NW_024603653.1	unplaced-scaffold	1850			Un_contig_4814_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000089.1	Chromosome		NW_024606792.1	unplaced-scaffold	12099			Un_contig_4817_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000090.1	Chromosome		NW_024609285.1	unplaced-scaffold	132404			Un_contig_4820_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000091.1	Chromosome		NW_024609172.1	unplaced-scaffold	116893			Un_contig_4824_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000092.1	Chromosome		NW_024606078.1	unplaced-scaffold	6585			Un_contig_4825_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000094.1	Chromosome		NW_024607152.1	unplaced-scaffold	18851			Un_contig_4827_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000095.1	Chromosome		NW_024604662.1	unplaced-scaffold	3627			Un_contig_4830_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000098.1	Chromosome		NW_024609202.1	unplaced-scaffold	120683			Un_contig_4835_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000102.1	Chromosome		NW_024608613.1	unplaced-scaffold	70005			Un_contig_4842_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000103.1	Chromosome		NW_024607650.1	unplaced-scaffold	32806			Un_contig_11503_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000104.1	Chromosome		NW_024607934.1	unplaced-scaffold	42556			Un_contig_13623_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000105.1	Chromosome		NW_024603036.1	unplaced-scaffold	1060			Un_contig_13624_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000106.1	Chromosome		NW_024602208.1	unplaced-scaffold	255			Un_contig_13627_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000107.1	Chromosome		NW_024608862.1	unplaced-scaffold	86325			Un_contig_13633_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000108.1	Chromosome		NW_024604337.1	unplaced-scaffold	3093			Un_contig_13634_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000109.1	Chromosome		NW_024605395.1	unplaced-scaffold	4600			Un_contig_13635_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000111.1	Chromosome		NW_024603869.1	unplaced-scaffold	2256			Un_contig_13641_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000112.1	Chromosome		NW_024603074.1	unplaced-scaffold	1101			Un_contig_13642_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000113.1	Chromosome		NW_024607771.1	unplaced-scaffold	36572			Un_contig_13649_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000114.1	Chromosome		NW_024606609.1	unplaced-scaffold	9918			Un_contig_1365_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000115.1	Chromosome		NW_024606260.1	unplaced-scaffold	7486			Un_contig_13650_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000116.1	Chromosome		NW_024602524.1	unplaced-scaffold	619			Un_contig_13651_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000117.1	Chromosome		NW_024608700.1	unplaced-scaffold	75502			Un_contig_13652_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000118.1	Chromosome		NW_024602982.1	unplaced-scaffold	986			Un_contig_13654_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000119.1	Chromosome		NW_024605977.1	unplaced-scaffold	6263			Un_contig_13655_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000121.1	Chromosome		NW_024608043.1	unplaced-scaffold	46319			Un_contig_1366_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000122.1	Chromosome		NW_024605669.1	unplaced-scaffold	5208			Un_contig_13660_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000123.1	Chromosome		NW_024602979.1	unplaced-scaffold	983			Un_contig_13662_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000124.1	Chromosome		NW_024603569.1	unplaced-scaffold	1721			Un_contig_13663_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000126.1	Chromosome		NW_024604382.1	unplaced-scaffold	3179			Un_contig_13669_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000128.1	Chromosome		NW_024604563.1	unplaced-scaffold	3494			Un_contig_13675_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000129.1	Chromosome		NW_024608626.1	unplaced-scaffold	70646			Un_contig_13676_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000131.1	Chromosome		NW_024602823.1	unplaced-scaffold	838			Un_contig_13679_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000132.1	Chromosome		NW_024609717.1	unplaced-scaffold	339935			Un_contig_1368_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000133.1	Chromosome		NW_024607347.1	unplaced-scaffold	23836			Un_contig_13682_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000134.1	Chromosome		NW_024607018.1	unplaced-scaffold	15790			Un_contig_13685_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000135.1	Chromosome		NW_024605053.1	unplaced-scaffold	4107			Un_contig_13688_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000136.1	Chromosome		NW_024608463.1	unplaced-scaffold	63454			Un_contig_1369_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000137.1	Chromosome		NW_024604966.1	unplaced-scaffold	4019			Un_contig_13694_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000138.1	Chromosome		NW_024607155.1	unplaced-scaffold	18949			Un_contig_13698_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000139.1	Chromosome		NW_024608188.1	unplaced-scaffold	52564			Un_contig_13700_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000140.1	Chromosome		NW_024603630.1	unplaced-scaffold	1813			Un_contig_13704_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000141.1	Chromosome		NW_024604683.1	unplaced-scaffold	3647			Un_contig_13705_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000142.1	Chromosome		NW_024608415.1	unplaced-scaffold	61865			Un_contig_13707_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000143.1	Chromosome		NW_024607497.1	unplaced-scaffold	27941			Un_contig_13710_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000145.1	Chromosome		NW_024607792.1	unplaced-scaffold	37205			Un_contig_13717_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000147.1	Chromosome		NW_024604718.1	unplaced-scaffold	3699			Un_contig_13719_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000148.1	Chromosome		NW_024608606.1	unplaced-scaffold	69661			Un_contig_13720_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000149.1	Chromosome		NW_024608020.1	unplaced-scaffold	45356			Un_contig_13722_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000150.1	Chromosome		NW_024606506.1	unplaced-scaffold	9017			Un_contig_13723_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000151.1	Chromosome		NW_024602739.1	unplaced-scaffold	771			Un_contig_13724_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000152.1	Chromosome		NW_024604620.1	unplaced-scaffold	3565			Un_contig_13728_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000153.1	Chromosome		NW_024607125.1	unplaced-scaffold	18183			Un_contig_13729_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000154.1	Chromosome		NW_024602263.1	unplaced-scaffold	463			Un_contig_13733_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000156.1	Chromosome		NW_024602800.1	unplaced-scaffold	820			Un_contig_13739_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000158.1	Chromosome		NW_024604626.1	unplaced-scaffold	3573			Un_contig_13745_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000161.1	Chromosome		NW_024603603.1	unplaced-scaffold	1769			Un_contig_10000_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000162.1	Chromosome		NW_024607515.1	unplaced-scaffold	28424			Un_contig_10002_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000164.1	Chromosome		NW_024603213.1	unplaced-scaffold	1234			Un_contig_10007_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000165.1	Chromosome		NW_024606297.1	unplaced-scaffold	7654			Un_contig_1001_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000166.1	Chromosome		NW_024602381.1	unplaced-scaffold	541			Un_contig_10011_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000167.1	Chromosome		NW_024606359.1	unplaced-scaffold	8042			Un_contig_10017_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000168.1	Chromosome		NW_024607740.1	unplaced-scaffold	35693			Un_contig_10018_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000169.1	Chromosome		NW_024602933.1	unplaced-scaffold	929			Un_contig_10019_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000170.1	Chromosome		NW_024606818.1	unplaced-scaffold	12359			Un_contig_10020_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000171.1	Chromosome		NW_024603703.1	unplaced-scaffold	1948			Un_contig_10023_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000172.1	Chromosome		NW_024606467.1	unplaced-scaffold	8719			Un_contig_10024_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000173.1	Chromosome		NW_024602218.1	unplaced-scaffold	321			Un_contig_10029_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000174.1	Chromosome		NW_024608106.1	unplaced-scaffold	49373			Un_contig_10030_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000175.1	Chromosome		NW_024607034.1	unplaced-scaffold	16131			Un_contig_10031_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000176.1	Chromosome		NW_024603806.1	unplaced-scaffold	2130			Un_contig_10036_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000177.1	Chromosome		NW_024607846.1	unplaced-scaffold	39489			Un_contig_10038_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000178.1	Chromosome		NW_024609058.1	unplaced-scaffold	102942			Un_contig_1004_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000179.1	Chromosome		NW_024602654.1	unplaced-scaffold	706			Un_contig_10040_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000180.1	Chromosome		NW_024606837.1	unplaced-scaffold	12575			Un_contig_10041_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000181.1	Chromosome		NW_024603861.1	unplaced-scaffold	2245			Un_contig_10048_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000182.1	Chromosome		NW_024603499.1	unplaced-scaffold	1613			Un_contig_10049_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000183.1	Chromosome		NW_024609384.1	unplaced-scaffold	157548			Un_contig_1005_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000184.1	Chromosome		NW_024606743.1	unplaced-scaffold	11420			Un_contig_10056_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000185.1	Chromosome		NW_024603473.1	unplaced-scaffold	1578			Un_contig_10058_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000186.1	Chromosome		NW_024606919.1	unplaced-scaffold	13860			Un_contig_1006_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000187.1	Chromosome		NW_024604834.1	unplaced-scaffold	3865			Un_contig_10060_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000189.1	Chromosome		NW_024603767.1	unplaced-scaffold	2055			Un_contig_10064_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000190.1	Chromosome		NW_024602499.1	unplaced-scaffold	605			Un_contig_10065_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000191.1	Chromosome		NW_024602645.1	unplaced-scaffold	701			Un_contig_10066_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000195.1	Chromosome		NW_024605538.1	unplaced-scaffold	4870			Un_contig_10079_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000196.1	Chromosome		NW_024608539.1	unplaced-scaffold	66515			Un_contig_1008_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000197.1	Chromosome		NW_024603185.1	unplaced-scaffold	1211			Un_contig_10081_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000199.1	Chromosome		NW_024609692.1	unplaced-scaffold	311664			Un_contig_1009_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000200.1	Chromosome		NW_024605866.1	unplaced-scaffold	5812			Un_contig_10092_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000201.1	Chromosome		NW_024605927.1	unplaced-scaffold	6054			Un_contig_10096_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000203.1	Chromosome		NW_024608947.1	unplaced-scaffold	92690			Un_contig_1010_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000204.1	Chromosome		NW_024609073.1	unplaced-scaffold	104397			Un_contig_10100_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000205.1	Chromosome		NW_024603262.1	unplaced-scaffold	1292			Un_contig_10101_pilon_pilon
GCF_018296145.1	Primary Assembly	Un			JAEPEU010000206.1	Chromosome		NW_024607280.1	unplaced-scaffold	21934			Un_contig_10104_pilon_pilon
